Iteracion,Punto_P10,Punto_P11,Punto_P12,Punto_P13,Punto_P14,Punto_P15,Punto_P16,Punto_P17,Punto_P18,Punto_P19,Punto_P2,Punto_P20,Punto_P21,Punto_P3,Punto_P4,Punto_P5,Punto_P6,Punto_P7,Punto_P8,Punto_P9,AntenaA,AntenaB,AntenaC,AntenaD
0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-59.0,-68.0,-62.0,-70.0
5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-63.0,-67.0,-49.0,-48.0
19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-49.0,-49.0,-60.0,-50.0
19,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-65.0,-67.0,-55.0,-42.0
8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-52.0,-68.0,-59.0,-66.0
10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-48.0,-50.0,-58.0,-50.0
8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-51.0,-69.0,-55.0,-54.0
6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,-60.0,-73.0,-40.0,-42.0
6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-59.0,-62.0,-59.0,-61.0
12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-49.0,-62.0,-49.0,-55.0
12,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-52.0,-68.0,-53.0,-55.0
8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-66.0,-67.0,-50.0,-47.0
10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-60.0,-59.0,-58.0,-62.0
17,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-61.0,-76.0,-51.0,-50.0
8,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-51.0,-64.0,-49.0,-37.0
11,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-59.0,-64.0,-55.0,-63.0
16,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-59.0,-63.0,-56.0,-63.0
21,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-64.0,-75.0,-34.0,-64.0
19,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-57.0,-71.0,-46.0,-42.0
15,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,-55.0,-59.0,-58.0,-51.0
10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-58.0,-57.0,-46.0,-53.0
6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-66.0,-66.0,-23.0,-50.0
21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-54.0,-70.0,-67.0,-61.0
11,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-64.0,-67.0,-39.0,-50.0
12,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-63.0,-72.0,-35.0,-65.0
